ConceptID,ConceptName,DependsOn
1,Computer Operation
2,Opening and Closing Apps,1
3,Creating and Saving Files,1|2
4,Files and Folders,3
5,Copying and Pasting,1
6,Integers and Numbers, 1
7,Addition and subtraction,6
8,Multiplication and division,7
9,Percentages and fractions,7|8
10,Coordinate systems,6|7
11,Primary colors (red blue yellow),
12,Additive color mixing,11
13,RGB color model concept,11|12
14,Light vs. pigment color mixing,12
15,Color intensity and brightness,11|12
16,Power Supply Polarity
17,Voltage,16
18,Current,16
19,Safe Electronics,16|17|18
20,Power Safety,17|19
21,Microcontrollers,2
22,Raspberry Pi Pico,21
23,GPIO Pins,22
24,LEDs,16|17|18
25,Addressable LEDs,24
26,NeoPixels,24|25
27,Breadboarding,19
28,Breadboard Connections,27
29,USB Cable,20
30,Power vs. data connections,16|17
31,Complete circuit path,16|17|18
32,Ground (GND) reference point,16|31
33,Power supply (5V 3.3V),17|31
34,Data signal line,30|31
35,Three-wire LEDs,31|32|33|34
36,Wire Colors,32|33
37,Device Polarity,16
38,Short Circuits,31|37
39,Current Limiting,18|38
40,Power Consumption,17|18
41,IDEs,2|3
42,Thonny IDE,41
43,Installing Software,2|3
44,USB Ports,20|29
45,Firmware,21
46,MicroPython,21|45
47,BOOTSEL,22|45
48,Drag-and-Drop,3|4|47
49,Serial Console,42|44
50,File System on Microcontroller,4|46
51,Program Definition,41
52,Code execution,42|51
53,Comments (# symbol),51
54,Print statement for output,49|51
55,Import statement,51
56,Libraries,50|55
57,Indentation,51
58,Syntax,51
59,Syntax Errors,58
60,Case Sensitivity,51
61,VariableS,51|63
62,Assignment Operator,61
63,Integers,6|51
64,Floating Point,9|63
65,Strings,51
66,Boolean,51
67,Variable Naming,60|61
68,Constants,61|62
69,Type Conversion,63|64|65
70,Mathematical Operators,7|8|62
71,Pixels,25|26
72,Pixel Indexing,6|71
73,RGB Tuples,13|65
74,Color Values,6|73
75,8-bit Colors,6|74
76,Setting Color,71|72|73|74
77,strip.write(),56|76
78,Setting LED Values,76|77
79,Custom colors,73|74
80,Turning LEDs Off,74|78
81,Sleep,55|56
82,Delay,81
83,Times Units,82
84,Milliseconds,83
85,Animation Frame Rate,82|84
86,Timing Animations,81|85
87,Program Speed,52|82
88,Pause vs. Stop,81|82
89,Real-time vs. Programmed Time,83|84
90,Time as Control,81|82
91,Loops,51
92,While Loop,57|91
93,While True,66|92
94,For Loop,57|91
95,Range,6|94
96,Loop Counter,61|91
97,Iteration,91|96
98,Loop Body,57|91
99,Break,92|93
100,Continue,92|94
101,Animation as changing images over time,78|85
102,Frame-by-frame animation,101
103,Position variable for tracking location,61|72
104,Increment (adding one),7|96
105,Decrement (subtracting one),7|96
106,Moving a pixel to the next position,76|103|104
107,Direction of motion,103|104|105
108,Speed control through delays,81|106
109,Smooth motion techniques,101|108
110,Visual persistence,101|102
111,Strip length (NUMBER_PIXELS),68|71
112,First pixel index (0),72
113,Last pixel index (NUMBER_PIXELS - 1),7|111
114,Index out of bounds error,72|113
115,Boundary checking,114
116,Wrapping around (going from end to start),91|115
117,Modulo operator (%),8|70
118,Remainder after division,8|117
119,Circular motion,116|117
120,Bounce effects (reversing direction),107|115
121,Array/list concept (ordered collection),61|65
122,Creating a list in Python,57|121
123,Accessing list elements by index,72|122
124,List length (len function),56|122
125,Adding items to lists,122
126,Removing items from lists,122
127,Iterating through lists,94|122
128,Tuple (immutable list),121|122
129,List of colors,73|122
130,Storing animation frames,102|122
131,Repeating patterns in code,91|131
132,Pattern in animation sequences,101|131
133,Identifying common code blocks,53|131
134,DRY principle (Don't Repeat Yourself),133
135,Code reuse benefits,134
136,Abstracting common operations,135
137,Generalizing specific solutions,136
138,Finding similarities in problems,133
139,Template-based solutions,137
140,Algorithm patterns,138|139
141,Function definition (def keyword),51|57
142,Function name,60|141
143,Function parameters (inputs),61|141
144,Function body,57|141
145,Return value (output),141
146,Calling a function,141|142
147,Function reusability,135|141
148,Local variables,61|144|150
149,Global variables,61|150
150,Variable scope,61|148
151,Color wheel concept,13|73
152,Hue (pure color),15|151
153,Saturation (color intensity),15|152
154,Value/brightness,15|153
155,Complementary colors,151|152
156,Analogous colors,151|152
157,Color harmony,155|156
158,Warm vs. cool colors,152
159,Color transitions,79|151
160,Gradient effects,159
161,Color wipe pattern,76|94|141
162,Rainbow effect,73|151|161
163,Color wheel function,141|151
164,Fade in/fade out,76|78|104|105
165,Pulse effect,164
166,Chase pattern,106|108
167,Fill and empty,78|94
168,Random colors,73|221
169,Sparkle effect,168
170,Wave patterns,106|109
171,If statement,51|57
172,Condition (test that returns True/False),66|171
173,Comparison operators (== != < > <= >=),70|172
174,Logical operators (and or not),66|172
175,Else clause,171
176,Elif (else if) clause,171|175
177,Nested conditionals,171|176
178,Boolean expressions,66|172
179,Truthiness in Python,66|178
180,Conditional execution flow,171|177
181,Push button (momentary switch),19|23
182,Button press detection,181
183,Digital input,23|182
184,Pull-down resistor concept,18|39|181
185,Button state (pressed/not pressed),66|182
186,Polling vs. interrupts,92|182
