ConceptID,ConceptLabel,Dependencies,TaxonomyID
1,Python Programming Language,,PYTH
2,Variable,1,PYTH
3,Variable Assignment,"1|2",PYTH
4,Integer Data Type,"2|3",PYTH
5,Float Data Type,4,PYTH
6,String Data Type,"2|3",PYTH
7,Boolean Data Type,"4|5",PYTH
8,List Data Type,"2|4|6",PYTH
9,Tuple Data Type,8,PYTH
10,None Value,"2|7",PYTH
11,Type Conversion,"4|5|6",PYTH
12,Mathematical Operators,"4|5",PYTH
13,Comparison Operators,"4|7|12",PYTH
14,Logical Operators,"7|13",PYTH
15,Boolean Expressions,"7|13|14",PYTH
16,if Statement,"3|15",PYTH
17,elif Clause,16,PYTH
18,else Clause,16,PYTH
19,Nested Conditionals,"16|17|18",PYTH
20,for Loop,"3|8",PYTH
21,while Loop,"3|15",PYTH
22,Infinite Loop,21,PYTH
23,break Statement,"20|21",PYTH
24,continue Statement,"20|21",PYTH
25,Loop Counter Variable,"3|20",PYTH
26,range() Function,"4|20",PYTH
27,len() Function,8,PYTH
28,int() Function,"4|11",PYTH
29,float() Function,"5|11",PYTH
30,print() Function,6,PYTH
31,Function Definition,1,PYTH
32,Function Parameters,31,PYTH
33,Function Return Value,31,PYTH
34,Function Call,"31|32",PYTH
35,Variable Scope,"3|31",PYTH
36,Local Variable,"31|35",PYTH
37,Global Variable,35,PYTH
38,Import Statement,1,PYTH
39,Module System,"1|38",PYTH
40,Code Indentation Rules,1,PYTH
41,Python Comments,1,PYTH
42,String Concatenation,6,PYTH
43,List Indexing,"4|8",PYTH
44,List Iteration,"8|20",PYTH
45,Tuple Immutability,"8|9",PYTH
46,Modulo Operator,"4|12",PYTH
47,Integer Division,"4|12",PYTH
48,SyntaxError,"1|40",PYTH
49,NameError,"1|2",PYTH
50,IndentationError,"1|40",PYTH
51,TypeError,"1|11",PYTH
52,IndexError,"8|43",PYTH
53,Off-by-One Error,"26|43",PYTH
54,Code Readability,"31|40|41",PYTH
55,DRY Principle,"31|34|54",PYTH
56,MicroPython,"1|38",UPICO
57,Raspberry Pi Pico,,UPICO
58,Raspberry Pi Pico W,57,UPICO
59,RP2040 Microcontroller,57,UPICO
60,ARM Cortex M0+ Processor,59,UPICO
61,Dual-Core Processing,"59|60",UPICO
62,264 KB SRAM,59,UPICO
63,2 MB Flash Storage,59,UPICO
64,GPIO Pins,57,UPICO
65,Pin Numbering System,64,UPICO
66,machine.Pin Class,"56|64|65",UPICO
67,Digital Output Mode,66,UPICO
68,Digital Input Mode,66,UPICO
69,Pin.high() Method,"66|67",UPICO
70,Pin.low() Method,"66|67",UPICO
71,Pin.value() Method,"66|68",UPICO
72,Pulse Width Modulation,"56|64",UPICO
73,PWM Frequency Setting,72,UPICO
74,PWM Duty Cycle,72,UPICO
75,Analog to Digital Converter,"56|64",UPICO
76,16-Bit ADC Resolution,75,UPICO
77,ADC.read_u16() Method,"75|76",UPICO
78,utime Module,"56|38",UPICO
79,sleep() Function,78,UPICO
80,ticks_ms() Function,78,UPICO
81,ticks_us() Function,78,UPICO
82,localtime() Function,78,UPICO
83,urandom Module,"56|38",UPICO
84,randint() Function,83,UPICO
85,neopixel Module,"56|38",UPICO
86,NeoPixel Class,85,UPICO
87,Firmware,57,UPICO
88,UF2 File Format,87,UPICO
89,BOOTSEL Button,"57|87",UPICO
90,Drag-and-Drop Flashing,"88|89",UPICO
91,REPL,56,UPICO
92,main.py Auto-Run,"56|87",UPICO
93,Pico File System,"56|87",UPICO
94,Serial Console,"56|91",UPICO
95,USB Connectivity,57,UPICO
96,Thonny IDE,56,UPICO
97,Thonny File Manager,"93|96",UPICO
98,Uploading Files to Pico,"95|97",UPICO
99,Running Scripts on Pico,"96|98",UPICO
100,Serial Console Debugging,"30|94|99",UPICO
101,NeoPixel LED,,NEO
102,WS2812B Integrated Circuit,101,NEO
103,Addressable LED,101,NEO
104,Single-Wire Serial Protocol,"102|103",NEO
105,24-Bit Color Data Format,"104|141",NEO
106,LED Data Chaining,"103|104",NEO
107,Data Stripping,106,NEO
108,Three-Wire LED Connection,"101|246",NEO
109,5V Power Requirement,"101|246",NEO
110,20 mA Per Pixel,"101|284",NEO
111,LED Strip Form Factor,101,NEO
112,LED Ring Form Factor,101,NEO
113,LED Matrix Form Factor,101,NEO
114,NeoPixel Fairy Lights,101,NEO
115,IP20 Weather Rating,101,NEO
116,IP65 Weather Rating,101,NEO
117,IP67 Weather Rating,101,NEO
118,Pixel Indexing,"4|103",NEO
119,strip.write() Method,"86|104",NEO
120,RGB Tuple Format,"9|141",NEO
121,Color Value Range,"120|141",NEO
122,8-Bit Color Depth,121,NEO
123,Number of Pixels Parameter,86,NEO
124,Data Pin Parameter,"64|86",NEO
125,NeoPixel Class Instantiation,"85|86|123|124",NEO
126,LED Strip Polarity,"108|251",NEO
127,Setting Individual Pixels,"118|120|125",NEO
128,Clearing All Pixels,127,NEO
129,WS2811 vs WS2812B,102,NEO
130,SK6812 RGBW Variant,"101|102",NEO
131,LED Refresh Rate,104,NEO
132,Maximum Strip Brightness,"110|121",NEO
133,LED Power Scaling,"110|121",NEO
134,LED Strip Density,111,NEO
135,LED Chain Data Timing,"104|131",NEO
136,Data Signal Voltage Level,"104|246",NEO
137,Level Shifter for 5V Data,136,NEO
138,LED Strip Segmentation,"118|127",NEO
139,Pixel Group Operations,"127|138",NEO
140,NeoPixel Library Overview,"85|86",NEO
141,RGB Color Model,,COLOR
142,Additive Color Mixing,141,COLOR
143,Subtractive Color Mixing,141,COLOR
144,Red as Primary Light Color,"141|142",COLOR
145,Green as Primary Light Color,"141|142",COLOR
146,Blue as Primary Light Color,"141|142",COLOR
147,Black Color,"121|141",COLOR
148,White Color,"121|141",COLOR
149,Color Wheel,141,COLOR
150,Spectral Color Sequence,149,COLOR
151,Named Color Constants,"120|141",COLOR
152,Color Mixing by Channel,"141|144|145|146",COLOR
153,Color Interpolation,"152|448",COLOR
154,Smooth Color Transition,153,COLOR
155,Hue,149,COLOR
156,Saturation,155,COLOR
157,Value (Brightness Level),141,COLOR
158,HSV Color Model,"155|156|157",COLOR
159,RGB to HSV Conversion,"141|158",COLOR
160,HSV to RGB Conversion,"141|158",COLOR
161,Complementary Colors,149,COLOR
162,Analogous Colors,149,COLOR
163,Color Temperature,141,COLOR
164,Warm Colors,149,COLOR
165,Cool Colors,149,COLOR
166,Color Contrast,"141|157",COLOR
167,Color Harmony,"161|162",COLOR
168,Gamma Correction,"157|170",COLOR
169,Gamma Value,168,COLOR
170,Perceived Brightness,157,COLOR
171,Linear Brightness,157,COLOR
172,Gamma Lookup Table,"168|169",COLOR
173,Normalized Color Values,"121|452",COLOR
174,Color Psychology,141,COLOR
175,Color Perception,"170|174",COLOR
176,Triadic Color Scheme,149,COLOR
177,Color Palette Design,"152|167",COLOR
178,Color Fade Effect,"121|154",COLOR
179,Color Gradient,"153|154",COLOR
180,Color Sequence Array,"8|151",COLOR
181,Blink Pattern,"79|125|127",ANIM
182,Fade In and Out,"178|181|207",ANIM
183,Heartbeat Pattern,182,ANIM
184,Color Wipe Animation,"20|79|127",ANIM
185,Moving Pixel Animation,"79|127|203",ANIM
186,Bounce Animation,"185|205",ANIM
187,Moving Bands Pattern,"20|127|209",ANIM
188,Rainbow Static Pattern,"125|150|160",ANIM
189,Moving Rainbow Pattern,"188|209",ANIM
190,Rainbow Cycle,"20|160|188",ANIM
191,Comet Tail Animation,"185|207|208",ANIM
192,Larson Scanner Pattern,"185|207|224",ANIM
193,Theater Chase Pattern,"20|127|210",ANIM
194,Ripple Animation,"127|185",ANIM
195,Twinkle Effect,"20|84|127",ANIM
196,Candle Flicker Animation,"84|127|219",ANIM
197,Random Colors Animation,"84|127",ANIM
198,Random Walk Animation,"84|185",ANIM
199,Clock Display Animation,"82|127",ANIM
200,Frame-Based Animation,"79|125",ANIM
201,Animation Delay,"79|200",ANIM
202,Animation Speed Control,"201|227",ANIM
203,Position Tracking Variable,"3|4|20",ANIM
204,Direction Variable,"3|7",ANIM
205,Bounce Logic,"13|203|204",ANIM
206,Modulo Wrapping,"46|203",ANIM
207,Brightness Scaling Factor,"12|152|173",ANIM
208,Color Trail with Fading,"203|207",ANIM
209,Pixel Offset Calculation,"46|203",ANIM
210,Sequential Pixel Lighting,"20|127",ANIM
211,Parallel Pixel Update,"125|127",ANIM
212,Animation Loop Structure,"22|125",ANIM
213,Frame Rate Concept,"200|201",ANIM
214,Timing with utime Module,"78|79",ANIM
215,Comet Trail Length,"4|191",ANIM
216,Scanner Width Parameter,"4|192",ANIM
217,Chase Group Size,"4|193",ANIM
218,Ripple Decay Rate,"5|194",ANIM
219,Flicker Randomness,"5|84",ANIM
220,Pattern Composition,"181|182",ANIM
221,Multi-Pattern Program,"220|356",ANIM
222,Pattern Switching Logic,"221|357",ANIM
223,Animation State Variable,"3|356",ANIM
224,Brightness Array,"8|207",ANIM
225,Animation Parameterization,"32|201",ANIM
