ConceptID,ConceptName,DependsOn,TaxonomyID
1,Computer Operation,,CF
2,Opening and Closing Apps,1,CF
3,Creating and Saving Files,1|2,CF
4,Files and Folders,3,CF
5,Copying and Pasting,1,CF
6,Integers and Numbers,,MATH
7,Addition and Subtraction,6,MATH
8,Multiplication and Division,7,MATH
9,Percentages and Fractions,7|8,MATH
10,Coordinate Systems,6|7,MATH
11,Primary Colors,,LED
12,Additive Color Mixing,11,LED
13,RGB Color Model,11|12,LED
14,Light vs Pigment Mixing,12,LED
15,Color Intensity,11|12,LED
16,Power Supply Polarity,,POWR
17,Voltage,16,ELEC
18,Current,16,ELEC
19,Safe Electronics,16|17|18,ELEC
20,Power Safety,17|19,POWR
21,Microcontrollers,2,MCU
22,Raspberry Pi Pico,21,MCU
23,GPIO Pins,22,MCU
24,LEDs,16|17|18,LED
25,Addressable LEDs,24,LED
26,NeoPixels,24|25,LED
27,Breadboarding,19,ELEC
28,Breadboard Connections,27,ELEC
29,USB Cable,20,CF
30,Power vs Data,16|17,POWR
31,Complete Circuit,16|17|18,ELEC
32,Ground Reference,16|31,ELEC
33,Power Supply,17|31,POWR
34,Data Signal,30|31,ELEC
35,Three-Wire LEDs,31|32|33|34,LED
36,Wire Colors,32|33,ELEC
37,Device Polarity,16,ELEC
38,Short Circuits,31|37,ELEC
39,Current Limiting,18|38,ELEC
40,Power Consumption,17|18,POWR
41,IDEs,2|3,CF
42,Thonny IDE,41,CF
43,Installing Software,2|3,CF
44,USB Ports,20|29,CF
45,Firmware,21,MCU
46,MicroPython,21|45,MCU
47,BOOTSEL,22|45,MCU
48,Drag-and-Drop,3|4|47,CF
49,Serial Console,42|44,CF
50,File System,4|46,CF
51,Program Definition,41,PROG
52,Code Execution,42|51,PROG
53,Comments,51,PROG
54,Print Statement,49|51,PROG
55,Import Statement,51,PROG
56,Libraries,50|55,PROG
57,Indentation,51,PROG
58,Syntax,51,PROG
59,Syntax Errors,58,DEBUG
60,Case Sensitivity,51,PROG
61,Variables,51|63,PROG
62,Assignment Operator,61,PROG
63,Integers,6|51,PROG
64,Floating Point,9|63,PROG
65,Strings,51,PROG
66,Boolean,51,PROG
67,Variable Naming,60|61,PROG
68,Constants,61|62,PROG
69,Type Conversion,63|64|65,PROG
70,Math Operators,7|8|62,PROG
71,Pixels,25|26,LED
72,Pixel Indexing,6|71,LED
73,RGB Tuples,13|65,LED
74,Color Values,6|73,LED
75,8-Bit Colors,6|74,LED
76,Setting Color,71|72|73|74,LED
77,Strip Write,56|76,LED
78,Setting LED Values,76|77,LED
79,Custom Colors,73|74,LED
80,Turning LEDs Off,74|78,LED
81,Sleep,55|56,ANIM
82,Delay,81,ANIM
83,Time Units,82,ANIM
84,Milliseconds,83,ANIM
85,Frame Rate,82|84,ANIM
86,Timing Animations,81|85,ANIM
87,Program Speed,52|82,ANIM
88,Pause vs Stop,81|82,ANIM
89,Real vs Programmed Time,83|84,ANIM
90,Time as Control,81|82,ANIM
91,Loops,51,PROG
92,While Loop,57|91,PROG
93,While True,66|92,PROG
94,For Loop,57|91,PROG
95,Range,6|94,PROG
96,Loop Counter,61|91,PROG
97,Iteration,91|96,PROG
98,Loop Body,57|91,PROG
99,Break,92|93,PROG
100,Continue,92|94,PROG
101,Animation Concept,78|85,ANIM
102,Frame-by-Frame,101,ANIM
103,Position Variable,61|72,ANIM
104,Increment,7|96,MATH
105,Decrement,7|96,MATH
106,Moving Pixels,76|103|104,ANIM
107,Direction of Motion,103|104|105,ANIM
108,Speed Control,81|106,ANIM
109,Smooth Motion,101|108,ANIM
110,Visual Persistence,101|102,ANIM
111,Strip Length,68|71,LED
112,First Pixel Index,72,LED
113,Last Pixel Index,7|111,LED
114,Index Out of Bounds,72|113,DEBUG
115,Boundary Checking,114,PROG
116,Wrapping Around,91|115,ANIM
117,Modulo Operator,8|70,MATH
118,Remainder,8|117,MATH
119,Circular Motion,116|117,ANIM
120,Bounce Effects,107|115,ANIM
121,Array Concept,61|65,PROG
122,Creating Lists,57|121,PROG
123,List Indexing,72|122,PROG
124,List Length,56|122,PROG
125,Adding to Lists,122,PROG
126,Removing from Lists,122,PROG
127,Iterating Lists,94|122,PROG
128,Tuples,121|122,PROG
129,Color Lists,73|122,LED
130,Storing Frames,102|122,ANIM
131,Repeating Patterns,91|131,ANIM
132,Animation Patterns,101|131,ANIM
133,Common Code Blocks,53|131,ARCH
134,DRY Principle,133,ARCH
135,Code Reuse,134,ARCH
136,Abstracting Operations,135,ARCH
137,Generalizing Solutions,136,ARCH
138,Finding Similarities,133,ARCH
139,Template Solutions,137,ARCH
140,Algorithm Patterns,138|139,ARCH
141,Function Definition,51|57,PROG
142,Function Name,60|141,PROG
143,Function Parameters,61|141,PROG
144,Function Body,57|141,PROG
145,Return Value,141,PROG
146,Calling Functions,141|142,PROG
147,Function Reusability,135|141,ARCH
148,Local Variables,61|144|150,PROG
149,Global Variables,61|150,PROG
150,Variable Scope,61|148,PROG
151,Color Wheel,13|73,LED
152,Hue,15|151,LED
153,Saturation,15|152,LED
154,Value Brightness,15|153,LED
155,Complementary Colors,151|152,LED
156,Analogous Colors,151|152,LED
157,Color Harmony,155|156,LED
158,Warm vs Cool Colors,152,LED
159,Color Transitions,79|151,LED
160,Gradient Effects,159,LED
161,Color Wipe,76|94|141,ANIM
162,Rainbow Effect,73|151|161,ANIM
163,Color Wheel Function,141|151,ANIM
164,Fade In Out,76|78|104|105,ANIM
165,Pulse Effect,164,ANIM
166,Chase Pattern,106|108,ANIM
167,Fill and Empty,78|94,ANIM
168,Random Colors,73|221,ANIM
169,Sparkle Effect,168,ANIM
170,Wave Patterns,106|109,ANIM
171,If Statement,51|57,PROG
172,Conditions,66|171,PROG
173,Comparison Operators,70|172,PROG
174,Logical Operators,66|172,PROG
